hitman_id,hitman_alias,region,contact_number,successful_hits,speciality,hit_rate_cost
1,Tobin,Eastern Cape,1692814280,47,Blackmail,9705.31
2,Caresse,Gauteng,8695156906,1,Torture,3342.3
3,Alidia,Kwazulu Natal,7418656792,88,Torture,2990.0
4,Aurlie,Limpopo,1743268182,186,Stalking,6998.54
5,Sanders,Kwazulu Natal,7223811943,131,Stalking,5679.12
6,Faber,Limpopo,7316655940,78,Intimidation,12536.89
7,Irvine,Northern Cape,5148560746,105,Blackmail,5984.82
8,Blair,Western Cape,1347641418,61,Torture,3319.76
9,Jessalin,Gauteng,4791684597,70,Intimidation,6678.27
10,Koressa,Limpopo,8417997854,186,Murder,14699.68
11,Reid,North West,7757218588,194,Torture,8242.68
12,Carmella,Mpumalanga,6481943544,83,Murder,9346.35
13,Pamella,Eastern Cape,5755272499,86,Stalking,2967.44
14,Crissie,Gauteng,2547822018,59,Stalking,11254.85
15,Udall,Mpumalanga,1885653853,196,Murder,3840.91
16,Marthe,Limpopo,8978476364,117,Blackmail,8121.04
17,Skip,Mpumalanga,2242801631,24,Stalking,12619.38
18,Ryun,Limpopo,8273448587,23,Torture,11205.73
19,Eddy,Northern Cape,6767982962,72,Intimidation,7442.17
20,Maddie,Northern Cape,9209071615,8,Murder,12516.19
21,Ina,Northern Cape,7532603255,125,Stalking,2941.92
22,Jone,North West,3522129295,70,Blackmail,13699.64
23,Tammie,Kwazulu Natal,9132162124,2,Stalking,11481.33
24,Kimmie,Limpopo,5262637375,22,Torture,7460.62
25,Bobbee,Freestate,9589800156,48,Stalking,5489.49
26,Maryanna,Mpumalanga,5356206087,105,Intimidation,13762.73
27,Bernie,North West,6787862158,115,Torture,12647.94
28,Paten,North West,1037289805,200,Murder,12872.54
29,Jock,Gauteng,6721020336,54,Torture,5835.94
30,Britte,Mpumalanga,2488568621,172,Blackmail,4896.39
31,Katharine,Northern Cape,5445864454,30,Torture,9809.28
32,Siana,Western Cape,6355639618,131,Torture,6920.58
33,Brian,Freestate,5814800034,133,Intimidation,12081.06
34,Kay,Gauteng,8617319168,96,Torture,4112.56
35,Dionne,Mpumalanga,4063958850,55,Torture,9487.81
36,Susanna,Freestate,9651457754,26,Blackmail,3526.15
37,Meghann,Northern Cape,6455957153,189,Blackmail,4502.38
38,Alys,Freestate,4238865584,43,Blackmail,3746.26
39,Vanna,Western Cape,2747623830,72,Torture,9049.26
40,Lynnelle,Limpopo,6271875935,74,Intimidation,7592.19
41,Melvin,North West,9876316989,51,Murder,5536.94
42,Aleksandr,Western Cape,6348783346,69,Murder,13718.82
43,Ethelind,Limpopo,2139935670,51,Murder,5396.95
44,Jackie,Freestate,8113019307,155,Intimidation,12226.91
45,Elane,Northern Cape,4135819761,27,Torture,12428.99
46,Chic,Limpopo,2395554676,55,Blackmail,11652.05
47,Dall,Gauteng,5708054390,87,Blackmail,8363.75
48,Jaine,Western Cape,6798825182,46,Intimidation,4942.59
49,Francisco,Eastern Cape,9277934302,119,Stalking,7493.52
50,Thibaud,Gauteng,5834558156,170,Murder,13509.81
51,Walt,Limpopo,2634605736,45,Murder,7902.29
52,Liv,North West,1032602409,128,Murder,10368.48
53,Michele,Mpumalanga,3035146885,71,Murder,4282.47
54,Graeme,Eastern Cape,7441434368,73,Blackmail,7909.15
55,Virgina,Limpopo,7306719763,78,Murder,7060.34
56,Ezechiel,Western Cape,7022893833,169,Blackmail,6452.52
57,Menard,Northern Cape,7866894382,120,Intimidation,6383.48
58,Delia,Gauteng,6805155142,60,Blackmail,8253.3
59,Pepita,Western Cape,2118684688,99,Blackmail,13770.21
60,Arnuad,Gauteng,3703022157,19,Murder,8175.09
61,Erhard,Northern Cape,8654305642,92,Blackmail,11441.59
62,Siana,Limpopo,4441443752,82,Intimidation,4461.34
63,Beatrice,Limpopo,5498992563,185,Stalking,8351.01
64,Nedi,Eastern Cape,5074839912,54,Murder,7028.89
65,Tamiko,Western Cape,1546506594,80,Torture,6794.91
