hitman_id,hitman_alias,region,contact_number,successful_hits,speciality,hit_rate_cost
1,Kale,La Estrella,331-164-6878,322,intimidation,5883.49
2,Paco,Stockholm,284-174-0771,176,torture,8094.11
3,Jerrie,Weixin,973-289-4770,154,blackmail,6900.71
4,Thurston,Saint Lucia,560-790-7685,209,intimidation,6176.69
5,Kennie,Shentong,883-806-5263,159,murder,6818.31
6,Georgie,Māymay,452-396-9035,83,murder,8934.6
7,Kev,Dalongdong,563-448-0727,111,torture,6304.0
8,Onfroi,Labé,293-421-9736,56,blackmail,7385.75
9,Tedd,Nantes,824-665-9710,100,torture,6614.12
10,Wyndham,Krasae Sin,889-687-5539,434,torture,5913.22
11,Sully,Ercheng,510-390-6377,330,torture,6107.95
12,Dante,Sukhothai,232-918-4953,234,intimidation,7102.39
13,Arny,Bansalan,675-768-6570,70,blackmail,7276.0
14,Nowell,Woodford Hill,366-374-1778,56,blackmail,5057.49
15,Kendell,Hirosaki,980-632-8198,39,murder,5243.25
16,Cozmo,San Narciso,861-890-2650,462,murder,5125.55
17,Peyton,Garahaji,873-307-2315,379,torture,9038.05
18,Bertram,Hualongyan,775-789-1838,344,intimidation,6043.72
19,Hewet,Fanrong,938-109-0582,143,murder,9622.87
20,Berkly,Pantin,869-765-0684,163,blackmail,9422.34
21,Nevil,Laohugang,493-304-1264,24,blackmail,9155.15
22,Gonzales,Buzet,100-172-2767,298,blackmail,9583.8
23,Boycie,Sansanné-Mango,755-247-0607,496,murder,7249.17
24,Wait,Ipoh,936-553-0507,143,torture,5492.67
25,Boony,Huntsville,256-141-3965,331,torture,8784.24
26,Bob,Flen,719-350-6376,5,intimidation,9356.64
27,Allard,Shadrinsk,332-759-2387,91,murder,6449.64
28,Kenyon,Huangtan,538-875-6192,82,murder,8993.08
29,Brion,Simpangpasir,162-377-9128,81,murder,6965.15
30,Carl,Archángelos,384-192-5756,53,murder,9200.08
31,Robbie,Tairan Camp,363-757-5343,276,intimidation,7004.71
32,Teddy,Indianapolis,317-210-6848,223,torture,7051.53
33,Page,Shatalovo,582-812-4897,302,murder,5714.08
34,Tobin,Yelabuga,594-229-4067,248,blackmail,7038.25
35,Ansel,Granville,133-901-3991,352,intimidation,7939.72
36,Christos,San Rafael,550-775-7453,481,murder,9966.42
37,Arvie,Ondores,536-552-9424,8,intimidation,5895.13
38,Timoteo,Jundian,905-160-3673,448,murder,8380.68
39,Kennedy,Orléans,209-837-9667,101,murder,6279.66
40,Lowrance,Chã Grande,824-426-1490,19,intimidation,7547.14
41,Steward,Araguaína,942-386-8103,371,torture,8722.02
42,Madison,Sairam,879-246-6835,225,torture,8634.5
43,Hyman,Freiburg im Breisgau,656-607-8098,320,torture,6479.39
44,Guglielmo,Sovetsk,918-919-8817,59,torture,8780.46
45,Stuart,Stockholm,993-453-4224,280,murder,7687.56
46,Christie,Margahayukencana,796-320-1073,114,intimidation,6016.69
47,Grange,Laborde,885-486-6925,323,murder,5052.31
48,Pall,Thessaloníki,250-787-4642,436,torture,6481.94
49,Nikola,San Pedro Pinula,653-867-5682,164,blackmail,9083.72
50,Sully,Kaczory,505-454-0845,383,murder,7512.11
